student_id,registration_number,full_name,gender,date_of_birth,cnic,city,province,email,phone,university,campus,degree_program,degree_code,batch_year,total_credits,total_quality_points,cgpa
16,2019-BS-AI-0016,Hassan Javed,Male,2001-12-22,62772-6692553-1,Faisalabad,Balochistan,hassan.javed16@student.university.pk,03717270733,University of Lahore,Main Campus,BS Artificial Intelligence,BS-AI,2019,132,459.0,3.48
17,2020-BS-AI-0017,Salman Qureshi,Male,2004-01-06,19880-8434500-8,Multan,Punjab,salman.qureshi17@student.university.pk,03634627347,National University of Sciences and Technology,South Campus,BS Artificial Intelligence,BS-AI,2020,118,416.7,3.53
18,2022-BS-AI-0018,Muhammad Khan,Male,1999-01-18,17685-3762152-6,Rawalpindi,Punjab,muhammad.khan18@student.university.pk,03675181648,Punjab University College of Information Technology,City Campus,BS Artificial Intelligence,BS-AI,2022,114,381.1,3.34
19,2020-BS-AI-0019,Fahad Butt,Male,2006-10-17,34890-5977931-3,Multan,KPK,fahad.butt19@student.university.pk,03684593961,University of Lahore,South Campus,BS Artificial Intelligence,BS-AI,2020,121,395.8,3.27
20,2019-BS-AI-0020,Muhammad Rana,Male,1998-08-23,76562-2344047-2,Karachi,Islamabad Capital Territory,muhammad.rana20@student.university.pk,03777491435,University of Karachi,City Campus,BS Artificial Intelligence,BS-AI,2019,125,395.6,3.16
21,2019-BS-AI-0021,Ali Syed,Male,2002-07-12,64948-9770838-5,Lahore,Islamabad Capital Territory,ali.syed21@student.university.pk,03387701200,University of Karachi,Main Campus,BS Artificial Intelligence,BS-AI,2019,123,419.2,3.41
22,2021-BS-AI-0022,Sana Rana,Female,2000-09-04,19508-1156287-7,Peshawar,Balochistan,sana.rana22@student.university.pk,03296637649,National University of Sciences and Technology,South Campus,BS Artificial Intelligence,BS-AI,2021,124,418.1,3.37
23,2021-BS-AI-0023,Ali Qureshi,Male,2003-09-04,30676-8351517-8,Peshawar,Punjab,ali.qureshi23@student.university.pk,03519233013,COMSATS University Islamabad,North Campus,BS Artificial Intelligence,BS-AI,2021,116,367.7,3.17
24,2021-BS-AI-0024,Ayesha Chaudhry,Female,2005-06-10,46930-4533779-5,Lahore,Punjab,ayesha.chaudhry24@student.university.pk,03425492573,National University of Computer and Emerging Sciences,City Campus,BS Artificial Intelligence,BS-AI,2021,114,380.5,3.34
25,2021-BS-AI-0025,Saad Mirza,Male,2000-10-25,27146-5394880-2,Karachi,Sindh,saad.mirza25@student.university.pk,03647135391,National University of Computer and Emerging Sciences,Main Campus,BS Artificial Intelligence,BS-AI,2021,103,327.4,3.18
26,2022-BS-AI-0026,Anum Khan,Female,1999-04-04,26704-1701771-4,Lahore,Punjab,anum.khan26@student.university.pk,03814835614,National University of Sciences and Technology,City Campus,BS Artificial Intelligence,BS-AI,2022,119,408.9,3.44
27,2020-BS-AI-0027,Fatima Shaikh,Female,2000-05-10,31299-3970445-6,Rawalpindi,Sindh,fatima.shaikh27@student.university.pk,03585146293,Punjab University College of Information Technology,City Campus,BS Artificial Intelligence,BS-AI,2020,109,366.2,3.36
28,2022-BS-AI-0028,Usman Rana,Male,2006-10-10,15075-8896868-3,Faisalabad,Punjab,usman.rana28@student.university.pk,03431367172,University of Lahore,Main Campus,BS Artificial Intelligence,BS-AI,2022,123,415.2,3.38
29,2021-BS-AI-0029,Kashif Shaikh,Male,2001-06-04,46517-2164686-4,Rawalpindi,Punjab,kashif.shaikh29@student.university.pk,03098588154,COMSATS University Islamabad,South Campus,BS Artificial Intelligence,BS-AI,2021,136,478.0,3.51
30,2019-BS-AI-0030,Aimen Rana,Female,1998-04-24,88193-8290770-5,Lahore,KPK,aimen.rana30@student.university.pk,03287925434,National University of Sciences and Technology,Main Campus,BS Artificial Intelligence,BS-AI,2019,122,422.1,3.46
31,2021-BS-AI-0031,Anum Ahmed,Female,2002-04-27,66531-2173965-5,Rawalpindi,KPK,anum.ahmed31@student.university.pk,03068526649,National University of Computer and Emerging Sciences,City Campus,BS Artificial Intelligence,BS-AI,2021,131,422.8,3.23
32,2020-BS-AI-0032,Sara Chaudhry,Female,2003-09-09,35144-8053918-6,Peshawar,Balochistan,sara.chaudhry32@student.university.pk,03564009265,University of Lahore,North Campus,BS Artificial Intelligence,BS-AI,2020,121,392.1,3.24
33,2022-BS-AI-0033,Zain Yousaf,Male,2004-02-23,67905-8418210-3,Karachi,KPK,zain.yousaf33@student.university.pk,03438210242,Punjab University College of Information Technology,North Campus,BS Artificial Intelligence,BS-AI,2022,125,393.3,3.15
34,2020-BS-AI-0034,Iqra Sheikh,Female,2001-03-08,13201-1775337-3,Quetta,Sindh,iqra.sheikh34@student.university.pk,03351663795,COMSATS University Islamabad,City Campus,BS Artificial Intelligence,BS-AI,2020,124,397.8,3.21
35,2019-BS-AI-0035,Zainab Ilyas,Female,2002-08-25,23970-8132769-3,Rawalpindi,Balochistan,zainab.ilyas35@student.university.pk,03763640499,COMSATS University Islamabad,City Campus,BS Artificial Intelligence,BS-AI,2019,115,375.0,3.26
36,2022-BS-AI-0036,Kashif Malik,Male,2004-04-02,90301-9468772-6,Rawalpindi,Sindh,kashif.malik36@student.university.pk,03727896471,Punjab University College of Information Technology,North Campus,BS Artificial Intelligence,BS-AI,2022,119,405.7,3.41
37,2021-BS-AI-0037,Iqra Mirza,Female,2003-01-18,67654-2299954-4,Peshawar,Punjab,iqra.mirza37@student.university.pk,03479967676,Punjab University College of Information Technology,City Campus,BS Artificial Intelligence,BS-AI,2021,125,425.0,3.4
38,2020-BS-AI-0038,Saad Rana,Male,2001-08-02,18418-7960328-6,Lahore,Punjab,saad.rana38@student.university.pk,03241039390,Punjab University College of Information Technology,City Campus,BS Artificial Intelligence,BS-AI,2020,125,398.8,3.19
39,2022-BS-AI-0039,Sadia Javed,Female,1998-09-13,72518-1098919-5,Rawalpindi,Balochistan,sadia.javed39@student.university.pk,03688393811,University of Lahore,Main Campus,BS Artificial Intelligence,BS-AI,2022,125,406.1,3.25
40,2019-BS-AI-0040,Aimen Javed,Female,2004-01-14,60968-6639317-6,Rawalpindi,Balochistan,aimen.javed40@student.university.pk,03346632757,Punjab University College of Information Technology,South Campus,BS Artificial Intelligence,BS-AI,2019,123,417.90000000000003,3.4
41,2019-BS-AI-0041,Kashif Hussain,Male,2004-12-23,94246-8190929-2,Karachi,Balochistan,kashif.hussain41@student.university.pk,03985751409,University of Lahore,Main Campus,BS Artificial Intelligence,BS-AI,2019,124,419.3,3.38
42,2022-BS-AI-0042,Iqra Malik,Female,2000-12-01,46471-8072684-4,Faisalabad,KPK,iqra.malik42@student.university.pk,03371028710,National University of Sciences and Technology,North Campus,BS Artificial Intelligence,BS-AI,2022,143,450.7,3.15
43,2019-BS-AI-0043,Farhan Khan,Male,2006-05-27,42411-4344717-0,Karachi,KPK,farhan.khan43@student.university.pk,03397260863,National University of Computer and Emerging Sciences,Main Campus,BS Artificial Intelligence,BS-AI,2019,113,371.3,3.29
44,2021-BS-AI-0044,Bilal Hussain,Male,2003-04-24,31992-2921542-2,Lahore,Islamabad Capital Territory,bilal.hussain44@student.university.pk,03372415804,University of Lahore,North Campus,BS Artificial Intelligence,BS-AI,2021,130,426.3,3.28
45,2019-BS-AI-0045,Sara Khan,Female,2001-07-01,49529-3030966-9,Faisalabad,Balochistan,sara.khan45@student.university.pk,03320200074,University of Karachi,City Campus,BS Artificial Intelligence,BS-AI,2019,133,429.6,3.23
46,2022-BS-AI-0046,Hamza Javed,Male,2005-06-02,74251-2770648-6,Quetta,Sindh,hamza.javed46@student.university.pk,03896911784,National University of Sciences and Technology,Main Campus,BS Artificial Intelligence,BS-AI,2022,113,381.5,3.38
47,2022-BS-AI-0047,Sadia Hussain,Female,2002-11-19,67091-5502929-5,Islamabad,Islamabad Capital Territory,sadia.hussain47@student.university.pk,03492666356,University of Karachi,South Campus,BS Artificial Intelligence,BS-AI,2022,126,409.9,3.25
48,2021-BS-AI-0048,Ali Butt,Male,2007-11-21,13761-9293086-5,Multan,Punjab,ali.butt48@student.university.pk,03786483924,University of Karachi,South Campus,BS Artificial Intelligence,BS-AI,2021,134,433.2,3.23
49,2019-BS-AI-0049,Farhan Qureshi,Male,2001-12-24,77715-4205394-1,Peshawar,KPK,farhan.qureshi49@student.university.pk,03490014570,University of Lahore,North Campus,BS Artificial Intelligence,BS-AI,2019,118,397.2,3.37
50,2021-BS-AI-0050,Imran Mirza,Male,2004-03-24,39045-7784725-3,Rawalpindi,Balochistan,imran.mirza50@student.university.pk,03770152969,National University of Computer and Emerging Sciences,Main Campus,BS Artificial Intelligence,BS-AI,2021,123,385.6,3.13
51,2021-BS-AI-0051,Madiha Mirza,Female,2004-03-17,50189-5217853-3,Quetta,Balochistan,madiha.mirza51@student.university.pk,03854398056,National University of Sciences and Technology,South Campus,BS Artificial Intelligence,BS-AI,2021,129,429.0,3.33
52,2019-BS-AI-0052,Salman Rana,Male,1999-05-05,35443-5970190-3,Islamabad,Punjab,salman.rana52@student.university.pk,03374988034,National University of Sciences and Technology,North Campus,BS Artificial Intelligence,BS-AI,2019,125,389.1,3.11
53,2020-BS-AI-0053,Iqra Chaudhry,Female,1998-02-27,93606-9235577-1,Islamabad,KPK,iqra.chaudhry53@student.university.pk,03017318358,University of Karachi,North Campus,BS Artificial Intelligence,BS-AI,2020,125,422.1,3.38
54,2019-BS-AI-0054,Zain Mirza,Male,2003-05-15,18564-7722755-7,Multan,KPK,zain.mirza54@student.university.pk,03216895666,National University of Sciences and Technology,South Campus,BS Artificial Intelligence,BS-AI,2019,118,386.4,3.27
55,2020-BS-AI-0055,Muhammad Hussain,Male,1999-09-04,78494-7381684-7,Peshawar,Sindh,muhammad.hussain55@student.university.pk,03325898299,University of Karachi,South Campus,BS Artificial Intelligence,BS-AI,2020,127,431.4,3.4
56,2021-BS-AI-0056,Laiba Javed,Female,2001-06-04,96563-2362099-2,Karachi,Islamabad Capital Territory,laiba.javed56@student.university.pk,03137888820,University of Lahore,City Campus,BS Artificial Intelligence,BS-AI,2021,135,456.5,3.38
57,2019-BS-AI-0057,Usman Sheikh,Male,1999-10-04,40340-5833597-4,Karachi,Balochistan,usman.sheikh57@student.university.pk,03789699989,Punjab University College of Information Technology,North Campus,BS Artificial Intelligence,BS-AI,2019,120,393.3,3.28
58,2021-BS-AI-0058,Zainab Syed,Female,2000-12-19,28643-2198058-0,Rawalpindi,Balochistan,zainab.syed58@student.university.pk,03183089925,COMSATS University Islamabad,City Campus,BS Artificial Intelligence,BS-AI,2021,121,396.1,3.27
59,2022-BS-AI-0059,Zain Chaudhry,Male,2002-12-04,20543-1668752-6,Lahore,Balochistan,zain.chaudhry59@student.university.pk,03464023778,National University of Sciences and Technology,South Campus,BS Artificial Intelligence,BS-AI,2022,122,400.9,3.29
60,2019-BS-AI-0060,Khadija Khan,Female,1999-01-10,32962-8893693-8,Rawalpindi,Islamabad Capital Territory,khadija.khan60@student.university.pk,03912784407,University of Lahore,North Campus,BS Artificial Intelligence,BS-AI,2019,108,362.6,3.36
61,2021-BS-AI-0061,Khadija Raza,Female,2004-07-25,52081-2754894-2,Faisalabad,Balochistan,khadija.raza61@student.university.pk,03173083727,National University of Sciences and Technology,South Campus,BS Artificial Intelligence,BS-AI,2021,125,403.8,3.23
62,2021-BS-AI-0062,Anum Mirza,Female,2001-03-26,52372-2944841-6,Faisalabad,Islamabad Capital Territory,anum.mirza62@student.university.pk,03071045700,National University of Computer and Emerging Sciences,North Campus,BS Artificial Intelligence,BS-AI,2021,121,392.8,3.25
63,2019-BS-AI-0063,Kashif Javed,Male,1998-08-11,36680-5480460-8,Rawalpindi,Islamabad Capital Territory,kashif.javed63@student.university.pk,03593568503,Punjab University College of Information Technology,South Campus,BS Artificial Intelligence,BS-AI,2019,104,338.5,3.25
64,2020-BS-AI-0064,Zain Ilyas,Male,2007-11-17,50730-1229419-8,Multan,Sindh,zain.ilyas64@student.university.pk,03094560158,University of Karachi,City Campus,BS Artificial Intelligence,BS-AI,2020,122,384.90000000000003,3.15
65,2021-BS-AI-0065,Zainab Syed,Female,2007-06-09,76698-5587308-6,Lahore,Balochistan,zainab.syed65@student.university.pk,03196934122,COMSATS University Islamabad,South Campus,BS Artificial Intelligence,BS-AI,2021,127,410.8,3.23
66,2019-BS-AI-0066,Hafsa Syed,Female,2003-02-14,46208-7961578-5,Islamabad,Balochistan,hafsa.syed66@student.university.pk,03390447099,University of Karachi,City Campus,BS Artificial Intelligence,BS-AI,2019,135,453.7,3.36
67,2022-BS-AI-0067,Ayesha Chaudhry,Female,2006-02-21,80592-9125900-5,Peshawar,Islamabad Capital Territory,ayesha.chaudhry67@student.university.pk,03998575748,Punjab University College of Information Technology,City Campus,BS Artificial Intelligence,BS-AI,2022,128,443.6,3.47
68,2019-BS-AI-0068,Aimen Ilyas,Female,2001-08-11,51704-8935224-6,Rawalpindi,Punjab,aimen.ilyas68@student.university.pk,03961401477,COMSATS University Islamabad,South Campus,BS Artificial Intelligence,BS-AI,2019,128,405.6,3.17
69,2019-BS-AI-0069,Hira Mirza,Female,1998-06-01,78937-8665981-0,Islamabad,Islamabad Capital Territory,hira.mirza69@student.university.pk,03954559574,National University of Computer and Emerging Sciences,South Campus,BS Artificial Intelligence,BS-AI,2019,113,377.5,3.34
70,2019-BS-AI-0070,Imran Hussain,Male,1998-11-03,53065-9952696-6,Multan,KPK,imran.hussain70@student.university.pk,03593652460,University of Lahore,South Campus,BS Artificial Intelligence,BS-AI,2019,118,400.8,3.4
71,2022-BS-AI-0071,Hafsa Malik,Female,2004-12-04,22903-2686231-7,Lahore,Punjab,hafsa.malik71@student.university.pk,03440532691,University of Lahore,Main Campus,BS Artificial Intelligence,BS-AI,2022,116,389.5,3.36
72,2020-BS-AI-0072,Zain Khan,Male,1998-07-08,42007-9911492-6,Quetta,Sindh,zain.khan72@student.university.pk,03458112135,National University of Sciences and Technology,South Campus,BS Artificial Intelligence,BS-AI,2020,121,409.0,3.38
73,2020-BS-AI-0073,Usman Raza,Male,1998-11-20,70443-5261032-7,Faisalabad,Islamabad Capital Territory,usman.raza73@student.university.pk,03376795767,University of Karachi,City Campus,BS Artificial Intelligence,BS-AI,2020,120,395.3,3.29
74,2022-BS-AI-0074,Ayesha Ilyas,Female,2001-03-24,42780-8664433-4,Islamabad,Sindh,ayesha.ilyas74@student.university.pk,03756381032,University of Karachi,North Campus,BS Artificial Intelligence,BS-AI,2022,139,464.90000000000003,3.34
75,2021-BS-AI-0075,Fahad Mirza,Male,1999-03-13,12875-7640518-4,Rawalpindi,Balochistan,fahad.mirza75@student.university.pk,03958178682,University of Karachi,North Campus,BS Artificial Intelligence,BS-AI,2021,121,401.8,3.32
76,2021-BS-AI-0076,Muhammad Mirza,Male,2007-05-05,98835-3294774-1,Peshawar,Punjab,muhammad.mirza76@student.university.pk,03957287718,COMSATS University Islamabad,City Campus,BS Artificial Intelligence,BS-AI,2021,115,355.1,3.09
77,2020-BS-AI-0077,Zain Ilyas,Male,1998-05-17,36318-3217273-8,Quetta,Punjab,zain.ilyas77@student.university.pk,03149609054,National University of Sciences and Technology,South Campus,BS Artificial Intelligence,BS-AI,2020,132,436.8,3.31
78,2020-BS-AI-0078,Khadija Raza,Female,2000-11-18,39571-7667458-8,Multan,KPK,khadija.raza78@student.university.pk,03525457816,Punjab University College of Information Technology,Main Campus,BS Artificial Intelligence,BS-AI,2020,123,412.4,3.35
79,2022-BS-AI-0079,Zainab Yousaf,Female,1998-02-27,93695-7232293-1,Peshawar,Islamabad Capital Territory,zainab.yousaf79@student.university.pk,03171040347,National University of Sciences and Technology,North Campus,BS Artificial Intelligence,BS-AI,2022,130,437.40000000000003,3.36
80,2021-BS-AI-0080,Farhan Khan,Male,2004-12-12,95097-7850067-1,Quetta,Islamabad Capital Territory,farhan.khan80@student.university.pk,03396926431,National University of Computer and Emerging Sciences,South Campus,BS Artificial Intelligence,BS-AI,2021,121,403.6,3.34
81,2022-BS-AI-0081,Muhammad Malik,Male,2001-05-31,69459-7224540-8,Multan,Sindh,muhammad.malik81@student.university.pk,03141514326,University of Karachi,City Campus,BS Artificial Intelligence,BS-AI,2022,133,427.5,3.21
82,2021-BS-AI-0082,Hira Javed,Female,2005-05-06,38477-8438733-7,Lahore,Balochistan,hira.javed82@student.university.pk,03964776386,National University of Sciences and Technology,Main Campus,BS Artificial Intelligence,BS-AI,2021,132,428.8,3.25
83,2020-BS-AI-0083,Hamza Ahmed,Male,2005-09-09,26011-8628891-1,Quetta,Islamabad Capital Territory,hamza.ahmed83@student.university.pk,03518126895,Punjab University College of Information Technology,North Campus,BS Artificial Intelligence,BS-AI,2020,124,408.7,3.3
84,2020-BS-AI-0084,Ahmed Malik,Male,2006-10-28,86858-4623062-3,Quetta,Punjab,ahmed.malik84@student.university.pk,03285776373,COMSATS University Islamabad,Main Campus,BS Artificial Intelligence,BS-AI,2020,127,424.4,3.34
85,2019-BS-AI-0085,Hira Khan,Female,2001-02-09,27275-1249314-5,Islamabad,Punjab,hira.khan85@student.university.pk,03843642236,COMSATS University Islamabad,Main Campus,BS Artificial Intelligence,BS-AI,2019,126,405.4,3.22
86,2019-BS-AI-0086,Danish Khan,Male,1999-12-15,72422-8520810-5,Peshawar,Sindh,danish.khan86@student.university.pk,03266500369,University of Karachi,Main Campus,BS Artificial Intelligence,BS-AI,2019,124,420.5,3.39
87,2019-BS-AI-0087,Kashif Syed,Male,2004-11-24,72781-7738019-6,Karachi,Islamabad Capital Territory,kashif.syed87@student.university.pk,03471477426,University of Lahore,Main Campus,BS Artificial Intelligence,BS-AI,2019,123,394.9,3.21
88,2021-BS-AI-0088,Farhan Ilyas,Male,1998-10-29,91830-6455706-6,Lahore,KPK,farhan.ilyas88@student.university.pk,03929909029,National University of Computer and Emerging Sciences,City Campus,BS Artificial Intelligence,BS-AI,2021,104,306.9,2.95
89,2022-BS-AI-0089,Sadia Javed,Female,1999-02-11,54424-8608449-6,Lahore,Islamabad Capital Territory,sadia.javed89@student.university.pk,03367723010,Punjab University College of Information Technology,City Campus,BS Artificial Intelligence,BS-AI,2022,127,413.8,3.26
90,2019-BS-AI-0090,Sara Rana,Female,2002-10-15,21957-2432176-1,Quetta,KPK,sara.rana90@student.university.pk,03530486849,University of Lahore,South Campus,BS Artificial Intelligence,BS-AI,2019,118,383.2,3.25
91,2019-BS-AI-0091,Sara Shaikh,Female,2007-02-08,63845-6932391-6,Islamabad,Islamabad Capital Territory,sara.shaikh91@student.university.pk,03088714010,University of Karachi,North Campus,BS Artificial Intelligence,BS-AI,2019,123,417.2,3.39
92,2020-BS-AI-0092,Zain Chaudhry,Male,2001-12-11,24184-6873938-8,Lahore,Islamabad Capital Territory,zain.chaudhry92@student.university.pk,03838553319,COMSATS University Islamabad,South Campus,BS Artificial Intelligence,BS-AI,2020,120,401.7,3.35
93,2021-BS-AI-0093,Sara Butt,Female,2004-06-09,13794-4026879-4,Rawalpindi,Balochistan,sara.butt93@student.university.pk,03893446356,University of Karachi,Main Campus,BS Artificial Intelligence,BS-AI,2021,129,427.6,3.31
94,2020-BS-AI-0094,Maham Shaikh,Female,1998-01-26,92991-1514340-1,Islamabad,Punjab,maham.shaikh94@student.university.pk,03998227303,Punjab University College of Information Technology,Main Campus,BS Artificial Intelligence,BS-AI,2020,109,348.8,3.2
95,2019-BS-AI-0095,Fahad Javed,Male,2003-02-02,16895-3610197-2,Quetta,Punjab,fahad.javed95@student.university.pk,03551827259,University of Lahore,North Campus,BS Artificial Intelligence,BS-AI,2019,109,374.2,3.43
96,2020-BS-AI-0096,Ali Butt,Male,2002-12-20,77154-2909540-5,Faisalabad,Balochistan,ali.butt96@student.university.pk,03969330166,Punjab University College of Information Technology,North Campus,BS Artificial Intelligence,BS-AI,2020,116,398.1,3.43
97,2019-BS-AI-0097,Sara Chaudhry,Female,2005-08-09,11007-4429650-4,Multan,Islamabad Capital Territory,sara.chaudhry97@student.university.pk,03416095815,COMSATS University Islamabad,South Campus,BS Artificial Intelligence,BS-AI,2019,112,365.6,3.26
98,2020-BS-AI-0098,Hussain Butt,Male,2001-03-31,26932-7378822-8,Quetta,Sindh,hussain.butt98@student.university.pk,03076757928,University of Lahore,South Campus,BS Artificial Intelligence,BS-AI,2020,120,381.5,3.18
99,2022-BS-AI-0099,Hamza Sheikh,Male,2002-06-15,85156-7785090-6,Karachi,Balochistan,hamza.sheikh99@student.university.pk,03071707170,National University of Computer and Emerging Sciences,North Campus,BS Artificial Intelligence,BS-AI,2022,126,417.0,3.31
100,2019-BS-AI-0100,Sara Yousaf,Female,1998-03-27,67240-2776088-3,Quetta,Punjab,sara.yousaf100@student.university.pk,03971753160,University of Lahore,North Campus,BS Artificial Intelligence,BS-AI,2019,104,347.7,3.34
101,2019-BS-AI-0101,Aimen Sheikh,Female,2002-06-10,79547-9555575-3,Peshawar,KPK,aimen.sheikh101@student.university.pk,03354703713,COMSATS University Islamabad,Main Campus,BS Artificial Intelligence,BS-AI,2019,126,389.5,3.09
102,2019-BS-AI-0102,Madiha Hussain,Female,2000-08-25,33218-9289908-7,Lahore,Punjab,madiha.hussain102@student.university.pk,03436477373,COMSATS University Islamabad,City Campus,BS Artificial Intelligence,BS-AI,2019,130,428.7,3.3
103,2021-BS-AI-0103,Maham Rana,Female,1999-09-11,87518-1942411-5,Multan,Sindh,maham.rana103@student.university.pk,03769352161,University of Lahore,North Campus,BS Artificial Intelligence,BS-AI,2021,118,381.3,3.23
104,2022-BS-AI-0104,Zain Ilyas,Male,2003-01-26,70648-1688246-7,Karachi,Sindh,zain.ilyas104@student.university.pk,03548530827,National University of Computer and Emerging Sciences,Main Campus,BS Artificial Intelligence,BS-AI,2022,137,463.6,3.38
105,2020-BS-AI-0105,Danish Mirza,Male,2003-08-16,15130-5156449-7,Islamabad,Sindh,danish.mirza105@student.university.pk,03723891786,National University of Sciences and Technology,Main Campus,BS Artificial Intelligence,BS-AI,2020,121,384.8,3.18
106,2021-BS-AI-0106,Iqra Shaikh,Female,2002-03-08,18639-6531293-1,Peshawar,Balochistan,iqra.shaikh106@student.university.pk,03655414869,University of Lahore,Main Campus,BS Artificial Intelligence,BS-AI,2021,131,432.8,3.3
107,2021-BS-AI-0107,Laiba Butt,Female,2006-02-12,50662-7575963-2,Islamabad,KPK,laiba.butt107@student.university.pk,03188213973,University of Lahore,City Campus,BS Artificial Intelligence,BS-AI,2021,122,390.3,3.2
108,2021-BS-AI-0108,Zain Yousaf,Male,2005-03-20,12389-7083379-4,Quetta,Punjab,zain.yousaf108@student.university.pk,03822543044,University of Lahore,South Campus,BS Artificial Intelligence,BS-AI,2021,119,402.3,3.38
109,2021-BS-AI-0109,Salman Rana,Male,2006-08-05,23256-9517619-8,Multan,Punjab,salman.rana109@student.university.pk,03328463709,COMSATS University Islamabad,Main Campus,BS Artificial Intelligence,BS-AI,2021,115,378.7,3.29
110,2022-BS-AI-0110,Danish Hussain,Male,2004-09-12,15726-7893063-5,Faisalabad,Punjab,danish.hussain110@student.university.pk,03234272734,University of Lahore,City Campus,BS Artificial Intelligence,BS-AI,2022,107,339.2,3.17
111,2020-BS-AI-0111,Kashif Chaudhry,Male,2006-06-09,58213-8391997-7,Multan,Punjab,kashif.chaudhry111@student.university.pk,03842100652,National University of Sciences and Technology,South Campus,BS Artificial Intelligence,BS-AI,2020,125,417.6,3.34
112,2021-BS-AI-0112,Aimen Javed,Female,1999-10-26,82684-2721170-8,Rawalpindi,Islamabad Capital Territory,aimen.javed112@student.university.pk,03243554863,National University of Computer and Emerging Sciences,South Campus,BS Artificial Intelligence,BS-AI,2021,114,373.8,3.28
113,2019-BS-AI-0113,Zain Sheikh,Male,2006-07-23,39102-8568671-5,Islamabad,KPK,zain.sheikh113@student.university.pk,03778901038,COMSATS University Islamabad,South Campus,BS Artificial Intelligence,BS-AI,2019,109,352.4,3.23
